rate_month,currency_code,usd_rate
2025-01-01,USD,1.0
2025-01-01,INR,0.01171
2025-01-01,EUR,1.044
2025-01-01,GBP,1.243
2025-01-01,AED,0.2723
2025-02-01,USD,1.0
2025-02-01,INR,0.01172
2025-02-01,EUR,1.048
2025-02-01,GBP,1.246
2025-02-01,AED,0.2723
2025-03-01,USD,1.0
2025-03-01,INR,0.01173
2025-03-01,EUR,1.052
2025-03-01,GBP,1.249
2025-03-01,AED,0.2723
2025-04-01,USD,1.0
2025-04-01,INR,0.01174
2025-04-01,EUR,1.056
2025-04-01,GBP,1.252
2025-04-01,AED,0.2723
2025-05-01,USD,1.0
2025-05-01,INR,0.01175
2025-05-01,EUR,1.06
2025-05-01,GBP,1.255
2025-05-01,AED,0.2723
2025-06-01,USD,1.0
2025-06-01,INR,0.01176
2025-06-01,EUR,1.064
2025-06-01,GBP,1.258
2025-06-01,AED,0.2723
2025-07-01,USD,1.0
2025-07-01,INR,0.01177
2025-07-01,EUR,1.068
2025-07-01,GBP,1.261
2025-07-01,AED,0.2723
2025-08-01,USD,1.0
2025-08-01,INR,0.01178
2025-08-01,EUR,1.072
2025-08-01,GBP,1.264
2025-08-01,AED,0.2723
2025-09-01,USD,1.0
2025-09-01,INR,0.01179
2025-09-01,EUR,1.076
2025-09-01,GBP,1.267
2025-09-01,AED,0.2723
2025-10-01,USD,1.0
2025-10-01,INR,0.0118
2025-10-01,EUR,1.08
2025-10-01,GBP,1.27
2025-10-01,AED,0.2723
2025-11-01,USD,1.0
2025-11-01,INR,0.01181
2025-11-01,EUR,1.084
2025-11-01,GBP,1.273
2025-11-01,AED,0.2723
2025-12-01,USD,1.0
2025-12-01,INR,0.01182
2025-12-01,EUR,1.088
2025-12-01,GBP,1.276
2025-12-01,AED,0.2723
