partner_key,partner_product_code,product_key,manufacturer_product_id,valid_from,valid_to,approved_flag
11,MM-TV43-101,101,PRD-1001,2025-01-01,2025-12-31,Y
11,MM-TV55-882,102,PRD-1002,2025-01-01,2025-12-31,Y
11,MM-TV65-883,103,PRD-1003,2025-01-01,2025-12-31,Y
11,MM-LAP14-214,201,PRD-2001,2025-01-01,2025-12-31,Y
11,MM-LAP16-416,202,PRD-2002,2025-01-01,2025-12-31,Y
11,MM-GAME15-502,203,PRD-2003,2025-01-01,2025-12-31,Y
11,MM-MON24-131,301,PRD-3001,2025-01-01,2025-12-31,Y
11,MM-MON27-233,302,PRD-3002,2025-01-01,2025-12-31,Y
11,MM-WIDE34-341,303,PRD-3003,2025-01-01,2025-12-31,Y
12,89010143,101,PRD-1001,2025-01-01,2025-12-31,Y
12,89010291,102,PRD-1002,2025-01-01,2025-12-31,Y
12,89010365,103,PRD-1003,2025-01-01,2025-12-31,Y
12,89020114,201,PRD-2001,2025-01-01,2025-12-31,Y
12,89020416,202,PRD-2002,2025-01-01,2025-12-31,Y
12,89020515,203,PRD-2003,2025-01-01,2025-12-31,Y
12,89030124,301,PRD-3001,2025-01-01,2025-12-31,Y
12,89030273,302,PRD-3002,2025-01-01,2025-12-31,Y
12,89030334,303,PRD-3003,2025-01-01,2025-12-31,Y
13,ELEC-43-EU,101,PRD-1001,2025-01-01,2025-12-31,Y
13,ELEC-55-EU,102,PRD-1002,2025-01-01,2025-12-31,Y
13,ELEC-65-EU,103,PRD-1003,2025-01-01,2025-12-31,Y
13,NOTE-14-DE,201,PRD-2001,2025-01-01,2025-12-31,Y
13,NOTE-16P-DE,202,PRD-2002,2025-01-01,2025-12-31,Y
13,NOTE-15G-DE,203,PRD-2003,2025-01-01,2025-12-31,Y
13,DISP-24-EU,301,PRD-3001,2025-01-01,2025-12-31,Y
13,DISP-27Q-EU,302,PRD-3002,2025-01-01,2025-12-31,Y
13,DISP-34U-EU,303,PRD-3003,2025-01-01,2025-12-31,Y
14,NIM-V43,101,PRD-1001,2025-01-01,2025-12-31,Y
14,NIM-V55Q,102,PRD-1002,2025-01-01,2025-12-31,Y
14,NIM-V65Q,103,PRD-1003,2025-01-01,2025-12-31,Y
14,NIM-AB14,201,PRD-2001,2025-01-01,2025-12-31,Y
14,NIM-AB16PRO,202,PRD-2002,2025-01-01,2025-12-31,Y
14,NIM-PB15,203,PRD-2003,2025-01-01,2025-12-31,Y
14,NIM-CV24,301,PRD-3001,2025-01-01,2025-12-31,Y
14,NIM-CV27Q,302,PRD-3002,2025-01-01,2025-12-31,Y
14,NIM-H34,303,PRD-3003,2025-01-01,2025-12-31,Y
15,RL-V43-A,101,PRD-1001,2025-01-01,2025-12-31,Y
15,RL-V55X2-A,102,PRD-1002,2025-01-01,2025-12-31,Y
15,RL-V65X2-B,103,PRD-1003,2025-01-01,2025-12-31,Y
15,RL-AB14-B,201,PRD-2001,2025-01-01,2025-12-31,Y
15,RL-AB16P-B,202,PRD-2002,2025-01-01,2025-12-31,Y
15,RL-PB15-C,203,PRD-2003,2025-01-01,2025-12-31,Y
15,RL-CV24-A,301,PRD-3001,2025-01-01,2025-12-31,Y
15,RL-CV27Q-A,302,PRD-3002,2025-01-01,2025-12-31,Y
15,RL-H34-B,303,PRD-3003,2025-01-01,2025-12-31,Y
16,GS-TV-A143,101,PRD-1001,2025-01-01,2025-12-31,Y
16,GS-TV-X255,102,PRD-1002,2025-01-01,2025-12-31,Y
16,GS-TV-X265,103,PRD-1003,2025-01-01,2025-12-31,Y
16,GS-NB-E314,201,PRD-2001,2025-01-01,2025-12-31,Y
16,GS-NB-P416,202,PRD-2002,2025-01-01,2025-12-31,Y
16,GS-NB-G215,203,PRD-2003,2025-01-01,2025-12-31,Y
16,GS-MN-F224,301,PRD-3001,2025-01-01,2025-12-31,Y
16,GS-MN-Q327,302,PRD-3002,2025-01-01,2025-12-31,Y
16,GS-MN-U134,303,PRD-3003,2025-01-01,2025-12-31,Y
11,MM-TV55-NEW,102,PRD-1002,2025-09-01,2025-12-31,Y
