partner_key,partner_item,location_code,snapshot_date,qty_on_hand,qty_reserved,qty_available
11,MM-LAP14-214,US001,2025-01-28,25,0,25
11,MM-LAP16-416,US001,2025-02-28,9,8,1
11,MM-GAME15-502,US001,2025-03-28,46,4,42
11,MM-MON24-131,US001,2025-04-28,54,2,52
11,MM-MON27-233,US001,2025-05-28,42,1,41
11,MM-WIDE34-341,US001,2025-06-28,21,8,13
11,MM-TV43-101,US001,2025-07-28,25,3,22
11,MM-TV55-882,US001,2025-08-28,45,4,41
11,MM-TV65-883,US001,2025-09-28,27,8,19
11,MM-LAP14-214,US001,2025-10-28,37,8,29
11,MM-LAP16-416,US001,2025-11-28,16,2,14
11,MM-GAME15-502,US001,2025-12-28,55,0,55
11,MM-LAP14-214,US017,2025-01-28,47,5,42
11,MM-LAP16-416,US017,2025-02-28,40,1,39
11,MM-GAME15-502,US017,2025-03-28,35,7,28
11,MM-MON24-131,US017,2025-04-28,13,1,12
11,MM-MON27-233,US017,2025-05-28,51,2,49
11,MM-WIDE34-341,US017,2025-06-28,2,0,2
11,MM-TV43-101,US017,2025-07-28,42,6,36
11,MM-TV55-882,US017,2025-08-28,30,3,27
11,MM-TV65-883,US017,2025-09-28,57,0,57
11,MM-LAP14-214,US017,2025-10-28,13,1,12
11,MM-LAP16-416,US017,2025-11-28,34,7,27
11,MM-GAME15-502,US017,2025-12-28,10,6,4
12,89020416,BLR-W1,2025-01-28,55,2,53
12,89020515,BLR-W1,2025-02-28,2,1,1
12,89030124,BLR-W1,2025-03-28,29,1,28
12,89030273,BLR-W1,2025-04-28,4,3,1
12,89030334,BLR-W1,2025-05-28,16,4,12
12,89010143,BLR-W1,2025-06-28,51,4,47
12,89010291,BLR-W1,2025-07-28,10,5,5
12,89010365,BLR-W1,2025-08-28,50,2,48
12,89020114,BLR-W1,2025-09-28,20,0,20
12,89020416,BLR-W1,2025-10-28,3,0,3
12,89020515,BLR-W1,2025-11-28,27,8,19
12,89030124,BLR-W1,2025-12-28,59,5,54
12,89020416,DEL-W1,2025-01-28,12,4,8
12,89020515,DEL-W1,2025-02-28,35,6,29
12,89030124,DEL-W1,2025-03-28,33,8,25
12,89030273,DEL-W1,2025-04-28,48,0,48
12,89030334,DEL-W1,2025-05-28,47,5,42
12,89010143,DEL-W1,2025-06-28,53,6,47
12,89010291,DEL-W1,2025-07-28,2,1,1
12,89010365,DEL-W1,2025-08-28,27,8,19
12,89020114,DEL-W1,2025-09-28,37,2,35
12,89020416,DEL-W1,2025-10-28,45,6,39
12,89020515,DEL-W1,2025-11-28,10,3,7
12,89030124,DEL-W1,2025-12-28,57,1,56
13,NOTE-15G-DE,DE-HAM,2025-01-28,1,0,1
13,DISP-24-EU,DE-HAM,2025-02-28,22,2,20
13,DISP-27Q-EU,DE-HAM,2025-03-28,17,7,10
13,DISP-34U-EU,DE-HAM,2025-04-28,26,6,20
13,ELEC-43-EU,DE-HAM,2025-05-28,1,0,1
13,ELEC-55-EU,DE-HAM,2025-06-28,9,2,7
13,ELEC-65-EU,DE-HAM,2025-07-28,31,2,29
13,NOTE-14-DE,DE-HAM,2025-08-28,14,5,9
13,NOTE-16P-DE,DE-HAM,2025-09-28,1,0,1
13,NOTE-15G-DE,DE-HAM,2025-10-28,38,3,35
13,DISP-24-EU,DE-HAM,2025-11-28,11,6,5
