txn_id,product_code,sale_date,store_id,qty,unit_price,discount,net_sales,currency,condition,state,country
MM-78001,MM-TV55-NEW,09/27/2025,US034,3,816.98,40.85,2328.39,USD,new,CA,USA
MM-78002,MM-TV43-101,09/19/2025,US017,2,375.28,0.0,750.56,USD,new,TX,USA
MM-78003,MM-MON24-131,09/09/2025,US034,3,192.6,19.26,520.02,USD,new,CA,USA
MM-78004,MM-TV43-101,06/22/2025,US052,2,389.56,0.0,779.12,USD,new,IL,USA
MM-78005,MM-LAP14-214,06/07/2025,US061,3,592.78,0.0,1778.34,USD,new,MA,USA
MM-78006,MM-TV55-882,04/23/2025,US052,3,707.55,0.0,2122.65,USD,new,IL,USA
MM-78007,MM-LAP16-416,03/01/2025,US041,1,1171.66,117.17,1054.49,USD,new,CO,USA
MM-78008,MM-TV65-883,08/02/2025,US061,1,915.82,0.0,915.82,USD,new,MA,USA
MM-78009,MM-GAME15-502,08/26/2025,US052,1,1225.11,122.51,1102.6,USD,new,IL,USA
MM-78010,MM-GAME15-502,12/09/2025,US001,2,1020.9,51.05,1939.7,USD,new,WA,USA
MM-78011,MM-LAP16-416,10/20/2025,US017,3,1361.53,68.08,3880.35,USD,new,TX,USA
MM-78012,MM-WIDE34-341,05/22/2025,US052,1,667.15,66.72,600.43,USD,new,IL,USA
MM-78013,UNKNOWN-TV-X,09/18/2025,US017,1,410.85,0.0,410.85,USD,new,TX,USA
MM-78014,MM-WIDE34-341,01/09/2025,US052,1,558.45,27.92,530.53,USD,new,IL,USA
MM-78015,MM-GAME15-502,04/14/2025,US041,2,1233.62,0.0,2467.24,USD,new,CO,USA
MM-78016,MM-TV55-882,04/14/2025,US017,1,736.06,73.61,662.45,USD,new,TX,USA
MM-78017,MM-TV65-883,03/04/2025,US001,1,1080.18,0.0,1080.18,USD,new,WA,USA
MM-78018,MM-LAP14-214,03/29/2025,US052,1,680.04,0.0,680.04,USD,new,IL,USA
MM-78019,MM-GAME15-502,05/29/2025,US052,1,1023.45,51.17,972.28,USD,new,IL,USA
MM-78020,MM-LAP14-214,05/20/2025,US034,3,691.49,34.57,1970.76,USD,new,CA,USA
MM-78021,MM-TV43-101,10/29/2025,US001,1,454.76,0.0,454.76,USD,new,WA,USA
MM-78022,MM-GAME15-502,10/17/2025,US017,1,1018.82,101.88,916.94,USD,new,TX,USA
MM-78023,MM-TV55-882,02/21/2025,US017,1,685.33,34.27,651.06,USD,new,TX,USA
MM-78024,MM-GAME15-502,01/25/2025,US034,1,1086.49,0.0,1086.49,USD,new,CA,USA
MM-78025,MM-LAP16-416,11/23/2025,US001,2,1196.21,119.62,2153.18,USD,new,WA,USA
MM-78026,MM-GAME15-502,09/25/2025,US001,1,1200.52,60.03,1140.49,USD,new,WA,USA
MM-78027,MM-MON27-233,06/27/2025,US061,3,340.47,0.0,1021.41,USD,new,MA,USA
MM-78028,MM-LAP14-214,10/21/2025,US017,1,705.01,35.25,669.76,USD,new,TX,USA
MM-78029,MM-TV65-883,07/03/2025,,1,911.86,91.19,820.67,USD,new,IL,USA
MM-78030,MM-TV55-NEW,10/12/2025,US061,3,685.32,68.53,1850.37,USD,new,MA,USA
MM-78031,MM-TV43-101,03/26/2025,US001,3,379.65,0.0,1138.95,USD,new,WA,USA
MM-78032,MM-TV43-101,11/11/2025,US001,2,394.96,0.0,789.92,USD,new,WA,USA
MM-78033,MM-TV43-101,08/01/2025,US034,1,452.83,0.0,452.83,USD,new,CA,USA
MM-78034,MM-MON27-233,04/02/2025,US034,1,365.58,18.28,347.3,USD,new,CA,USA
MM-78035,MM-TV55-882,01/17/2025,US061,1,730.37,0.0,730.37,USD,new,MA,USA
MM-78036,MM-GAME15-502,02/19/2025,US001,2,1080.07,108.01,1944.12,USD,new,WA,USA
MM-78037,MM-TV65-883,07/02/2025,US034,-1,924.85,46.24,-878.61,USD,new,CA,USA
MM-78038,MM-LAP14-214,04/25/2025,US061,1,693.61,0.0,693.61,USD,new,MA,USA
MM-78039,MM-GAME15-502,11/21/2025,US017,2,1066.1,106.61,1918.98,USD,new,TX,USA
MM-78040,MM-MON24-131,04/16/2025,US001,2,214.28,21.43,385.7,USD,new,WA,USA
MM-78041,MM-WIDE34-341,06/01/2025,US017,3,554.62,0.0,1663.86,USD,new,TX,USA
MM-78042,MM-GAME15-502,03/25/2025,US052,1,1234.18,123.42,1110.76,USD,new,IL,USA
MM-78043,MM-TV43-101,12/04/2025,US034,2,435.58,21.78,827.6,USD,new,CA,USA
MM-78044,MM-MON24-131,06/13/2025,US041,1,203.5,10.18,193.32,USD,new,CO,USA
MM-78045,MM-TV65-883,07/01/2025,US001,1,1043.69,0.0,1043.69,USD,new,WA,USA
MM-78046,MM-MON24-131,11/01/2025,US052,1,221.47,11.07,210.4,USD,new,IL,USA
MM-78047,MM-GAME15-502,11/24/2025,US034,2,1011.95,50.6,1922.7,USD,new,CA,USA
MM-78048,MM-GAME15-502,08/28/2025,US061,1,1177.9,0.0,1177.9,USD,new,MA,USA
MM-78049,MM-LAP14-214,09/08/2025,US001,3,648.12,64.81,1749.93,USD,new,WA,USA
MM-78050,MM-TV65-883,08/20/2025,US061,1,978.49,0.0,978.49,USD,new,MA,USA
MM-78051,MM-LAP14-214,06/20/2025,US001,1,709.87,0.0,709.87,USD,new,WA,USA
MM-78052,MM-TV65-883,10/06/2025,US001,3,956.26,0.0,2868.78,USD,new,WA,USA
MM-78053,MM-LAP16-416,06/18/2025,US034,2,1236.64,0.0,2473.28,USD,new,CA,USA
MM-78054,MM-LAP16-416,06/11/2025,US001,2,1437.08,0.0,2874.16,USD,new,WA,USA
MM-78055,MM-TV55-882,01/24/2025,US001,1,673.27,0.0,673.27,USD,new,WA,USA
MM-78056,MM-LAP16-416,12/20/2025,US041,3,1322.2,0.0,3966.6,USD,new,CO,USA
MM-78057,MM-MON27-233,10/06/2025,US052,1,407.65,40.77,366.88,USD,new,IL,USA
MM-78058,MM-TV55-882,04/17/2025,US052,1,748.29,74.83,673.46,USD,new,IL,USA
MM-78059,MM-TV55-882,05/23/2025,US052,2,762.9,76.29,1373.22,USD,new,IL,USA
MM-78060,MM-MON24-131,03/26/2025,US061,1,198.75,9.94,188.81,USD,new,MA,USA
MM-78061,MM-TV43-101,07/17/2025,US041,1,373.83,18.69,355.14,USD,new,CO,USA
MM-78062,MM-GAME15-502,10/24/2025,US061,1,1022.84,0.0,1022.84,USD,new,MA,USA
MM-78063,MM-GAME15-502,10/31/2025,US041,1,1146.47,114.65,1031.82,USD,new,CO,USA
MM-78064,MM-LAP14-214,07/15/2025,US041,1,611.15,0.0,611.15,USD,new,CO,USA
MM-78065,MM-MON24-131,01/18/2025,US041,2,190.83,0.0,381.66,USD,new,CO,USA
MM-78066,MM-TV43-101,09/29/2025,US034,1,401.69,0.0,401.69,USD,new,CA,USA
MM-78067,MM-WIDE34-341,03/20/2025,US001,1,647.2,0.0,647.2,USD,new,WA,USA
MM-78068,MM-TV55-NEW,10/11/2025,US041,1,685.56,0.0,685.56,USD,new,CO,USA
MM-78069,MM-WIDE34-341,06/01/2025,US034,3,559.19,0.0,1677.57,USD,new,CA,USA
MM-78070,MM-LAP16-416,09/19/2025,US034,2,1318.52,65.93,2505.18,USD,new,CA,USA
MM-78071,MM-LAP16-416,04/21/2025,US001,3,1425.63,0.0,4276.89,USD,new,WA,USA
MM-78072,MM-TV65-883,11/10/2025,US017,3,927.32,92.73,2503.77,USD,new,TX,USA
MM-78021,MM-TV43-101,10/29/2025,US001,1,454.76,0.0,454.76,USD,new,WA,USA
