order_id,item_id,product_id,quantity,unit_price
O001,I001,P001,2,25.00
O002,I002,P001,2,25.00
O003,I003,P001,2,25.00
O004,I004,P001,0,25.00
O005,I005,P001,two,25.00
O006,I006,P001,-2,-25
O007,I007,P001,2,25.00
O008,I008,P001,2,25.00
O009,I009,P999,2,25.00
O010,I010,P001,2,25.00
O011,I011,P001,2,25.00
O012,I012,P001,2,25.00
O013,I013,P001,2,25.00
O014,I014,P001,1000000,25.00
O015,I015,P001,2,25.00
O016,I016,P001,2,25.00
O017,I017,P001,1.5,25.00
O018,I018,P001,2,25.00
O019,I019,P001,2,25.00
